glosa,english
intra,inside; below; in (indoors); indoor; indoors; inland; interior; internal; intimate; inward; inwards; under; within 
intra-duce,introduce; introduction 
intra-ve,shirt; underwear; vest 
inventi,invent 
investi,invest 
invidio,envious; envy; jealous; jealousy 
involve,involve; wrap; wrap in; wrap up 
iso,identical; exactly like; as (equal); equal 
iso ... de,as ... as 
iso-tem,contemporary (event); simultaneous 
itera,again; insist; iterate; new (again); re; repeat; repetition; return 
iti,go 
ja,yes; agreed!; yeah 
janu,door; doorway; entrance 
joko,jest; joke; play a joke ; play (joke) 
ju- (short prefix form of juve),young 
ju-an,boy; lad; youngster (male) 
ju-fe,girl; lass; miss (young woman); youngster (female) 
judika,judge (v); criticize; decide; umpire; verdict 
judika-pe,judge (person); magistrate; referee 
judika-ra,justice 
jungla,jungle 
jura,oath; swear oath; swear (oath); take an oath; curse 
jurnali,journal; magazine; newspaper 
justi,equitable; fair (equitable); fair (just); impartial; just; just (equitable); just (fair); justice; right (just) 
juve,young; youth; youthful 
ka,because; as (because); for (because) 
-ka (short affix form of kamera),room; -room 
ka-co,hence (therefore); so (therefore); therefore 
kade,fall; cascade; drop (fall); lie down; topple; trip (fall); tumble 
kafa,coffee 
kafe,café 
kako,bad; evil; nasty; undesirable; very bad ; vicious; vile; wicked 
kako-fono,cacophony; clatter; din; noise; tumult 
kako-zelo,jealous; jealousy; envy; zeal 
kali,beautiful; decorate; handsome; pretty 
kalki,heel 
kalma,calm; soothe 
kambio,exchange 
Kamelus,camel 
kamera,room; accomodate; apartment; camera (apparatus); camera (room); chamber; hall 
kamera-fa,apartment; flat (apartment) 
kampu,camp; field 
kanali,canal; channel; ditch; drain; groove; gutter; furrow 
kanava,canvas (cloth) 
kancela,cancel; grating (n); gril; grille; lattice 
kancera,cancer; crab; lattice 
kandela,candle; candle (sparking plug); sparking plug (candle) 
kandi,glow 
kani,canine; dog 
kanona,cannon 
kanta,cantata; sing; song 
kapila,hair 
kapitala,capital (city) 
kapitali,capital (money) 
kapitana,captain; skipper 
kapitula,chapter; capitulate 
kapo,cape (land) 
kapri,goat 
kapsu,capsule; parcel; box 
kapti,catch; capture; grasp; seize; seizure; snare 
kapti piski,angle (v) 
karakteri,character; temperament; trait 
karbo,coal 
karcera,prison; cage; imprison; incarcerate; jail 
kardia,heart; core; hearty; warm (emotional) 
kardina,hinge 
karesa,caress; massage; stroke (caress); rub (caress); pet (caress) 
kareta,cart 
kargo,load; burden; cargo; charge; charge (load); duty; job; load (charge); pack (charge); task 
kargo-vagona,lorry; truck 
karni,flesh; meat 
karo,dear 
karpe,harvest; crop; pluck (harvest); reap 
u karpe,crop 
karpu,wrist; carpus 
karta,card 
kartona,cardboard; carton 
kasea,cheese 
kaso,"case (example, at court, condition, event); in the case of "
kastela,castle; fort 
kata,down (adverb); downwards; sink; swoop 
katena,chain 
kauda,queue; tail (n) 
kauli,stalk; stem 
kausa,because; because of; as (because); cause; owing (v); since (because) 
kaverno,cave; cavern 
kavita,cavity; abyss; empty; hollow; hollowness; pit; vacant 
kefa,head 
kefa-ve,cap (hat); hat; hat (cap); hood 
kerami,ceramic; clay; earthenware; pottery 
kerati,horn 
ki,go; move; goes (form of to go); going (participle of to go) 
ki ab,leave; abandon (go away); depart; desert (v); go away; quit; retire; retreat 
